ticket_id,role_code,contact_name,is_active,updated_at
T001,REPORTER,Alice Old,N,2024-12-01 00:00:00
T001,REPORTER,Alice New,Y,2025-01-01 08:00:00
T001,ASSIGNEE,Bob Early,N,2024-11-01 00:00:00
T001,ASSIGNEE,Bob Later,N,2024-12-15 00:00:00
T002,REPORTER,Carol,Y,2025-01-15 00:00:00
T002,ASSIGNEE,Dave,Y,2025-01-20 00:00:00
T003,REPORTER,Eve,Y,2025-03-01 00:00:00
T003,ASSIGNEE,Frank Old,N,2025-02-01 00:00:00
T003,ASSIGNEE,Frank New,Y,2025-03-04 00:00:00
T004,REPORTER,Grace,Y,2025-04-01 00:00:00
T004,ASSIGNEE,Heidi,Y,2025-04-05 00:00:00
